name,date_of_birth,place_of_birth,team,season_start_year,season_end_year,competition,competitionNation,Foreign,Colony,Language,latitude,longitude
1,3/6/85,Poland,borussia-dortmund,2017,2018,Bundesliga,Germany,foreign,Germany,Polish,51.919438,19.145136
1,2/10/93,Belgium,borussia-dortmund,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,23/10/89,Ukraine,borussia-dortmund,2017,2018,Bundesliga,Germany,foreign,Other Countries,Ukrainian,48.379433,31.16558
1,11/4/66,Austria,borussia-dortmund,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,20/2/71,Austria,borussia-dortmund,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,25/6/92,Belgium,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,13/11/91,Netherlands,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,1/9/83,Netherlands,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,12/10/96,Netherlands,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,14/12/85,Poland,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Polish,51.919438,19.145136
1,23/6/98,Croatia,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
1,1/9/97,Belgium,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,18/4/95,Belgium,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,29/12/98,Nigeria,vfl-wolfsburg,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,9.081999,8.675277
1,9/9/97,Slovakia,bor-moenchengladbach,2017,2018,Bundesliga,Germany,foreign,Other Countries,Slovak/Bulgarian/Czech/Polish/German/Romani/Rusyn Serbian Ukrainian,48.669026,19.699024
1,21/4/88,Guinea,bor-moenchengladbach,2017,2018,Bundesliga,Germany,foreign,France,French,9.945587,-9.696645
1,29/3/93,Belgium,bor-moenchengladbach,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,9/6/75,Ghana,bor-moenchengladbach,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,7.946527,-1.023194
1,29/9/84,Norway,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Norwegian,60.472024,8.468946
1,30/10/86,Slovakia,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Slovak/Bulgarian/Czech/Polish/German/Romani/Rusyn Serbian Ukrainian,48.669026,19.699024
1,2/12/94,Netherlands,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,8/8/90,Czech Republic,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
1,5/12/94,Slovakia,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Slovak/Bulgarian/Czech/Polish/German/Romani/Rusyn Serbian Ukrainian,48.669026,19.699024
1,24/3/96,Austria,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,16/6/87,Norway,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Norwegian,60.472024,8.468946
1,4/2/91,Australia,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,-25.274398,133.775136
1,16/3/76,Hungary,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Hungarian,47.162494,19.503304
1,23/9/66,Hungary,hertha-bsc,2017,2018,Bundesliga,Germany,foreign,Other Countries,Hungarian,47.162494,19.503304
1,28/6/88,Nigeria,1-fsv-mainz-05,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,9.081999,8.675277
1,4/2/98,Croatia,1-fsv-mainz-05,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
1,30/11/84,Netherlands,1-fsv-mainz-05,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,17/3/92,Austria,1-fsv-mainz-05,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,14/10/90,Nigeria,1-fsv-mainz-05,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,9.081999,8.675277
1,18/10/79,Czech Republic,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
1,14/4/92,Czech Republic,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
1,16/3/98,Austria,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,24/12/86,Czech Republic,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
1,29/9/85,Finland,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Other Countries,Finnish,61.92411,25.748151
1,4/6/96,Netherlands,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,26/9/87,Austria,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,24/10/92,Austria,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,15/1/92,Algeria,werder-bremen,2017,2018,Bundesliga,Germany,foreign,France,Arabic,28.033886,1.659626
1,10/3/97,Gambia,werder-bremen,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,13.443182,-15.310139
1,30/11/80,Austria,werder-bremen,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,19/9/98,Austria,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,10/7/91,Netherlands,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,7/9/92,Austria,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,18/10/90,Ghana,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,7.946527,-1.023194
1,27/2/89,South Korea,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Other Countries,Korean,35.907757,127.766922
1,1/11/89,Czech Republic,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
1,1/2/89,Iceland,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Other Countries,Icelandic,64.963051,-19.020835
1,18/4/94,Austria,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,23/4/68,Croatia,fc-augsburg,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
1,10/1/97,Senegal,fortuna-duesseldorf,2017,2018,Bundesliga,Germany,foreign,France,French,14.497401,-14.452362
1,3/10/98,Croatia,fortuna-duesseldorf,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
1,3/3/98,Croatia,fortuna-duesseldorf,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
1,15/7/93,Norway,fortuna-duesseldorf,2017,2018,Bundesliga,Germany,foreign,Other Countries,Norwegian,60.472024,8.468946
1,7/11/94,Belgium,fortuna-duesseldorf,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/French,50.503887,4.469936
1,6/5/90,Hungary,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Other Countries,Hungarian,47.162494,19.503304
1,18/5/89,Austria,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,9/10/90,Slovenia,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Other Countries,Slovene,46.151241,14.995463
1,10/2/95,Guinea,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,France,French,9.945587,-9.696645
1,27/5/97,Austria,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,17/3/94,Austria,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,9/8/67,Austria,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,29/4/79,Hungary,rb-leipzig,2017,2018,Bundesliga,Germany,foreign,Other Countries,Hungarian,47.162494,19.503304
1,11/6/98,Netherlands,1899-hoffenheim,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,25/4/92,Czech Republic,1899-hoffenheim,2017,2018,Bundesliga,Germany,foreign,Other Countries,Czech,49.817492,15.472962
